"dr_no","date_rptd","date_occ","time_occ","area","area_name","rpt_dist_no","part_1_2","crm_cd","crm_cd_desc","mocodes","vict_age","vict_sex","vict_descent","premis_cd","premis_desc","weapon_used_cd","weapon_desc","status","status_desc","crm_cd_1","crm_cd_2","crm_cd_3","crm_cd_4","location","cross_street","lat","lon"
"190326475","2020-03-01T00:00:00.000","2020-03-01T00:00:00.000","2130","07","Wilshire","0784","1","510","VEHICLE - STOLEN",,"0","M","O","101","STREET",,,"AA","Adult Arrest","510","998",,,"1900 S  LONGWOOD                     AV",,"34.0375","-118.3506"
"200106753","2020-02-09T00:00:00.000","2020-02-08T00:00:00.000","1800","01","Central","0182","1","330","BURGLARY FROM VEHICLE","1822 1402 0344","47","M","O","128","BUS STOP/LAYOVER (ALSO QUERY 124)",,,"IC","Invest Cont","330","998",,,"1000 S  FLOWER                       ST",,"34.0444","-118.2628"
"200320258","2020-11-11T00:00:00.000","2020-11-04T00:00:00.000","1700","03","Southwest","0356","1","480","BIKE - STOLEN","0344 1251","19","X","X","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","480",,,,"1400 W  37TH                         ST",,"34.021","-118.3002"
"200907217","2023-05-10T00:00:00.000","2020-03-10T00:00:00.000","2037","09","Van Nuys","0964","1","343","SHOPLIFTING-GRAND THEFT ($950.01 & OVER)","0325 1501","19","M","O","405","CLOTHING STORE",,,"IC","Invest Cont","343",,,,"14000    RIVERSIDE                    DR",,"34.1576","-118.4387"
"220614831","2022-08-18T00:00:00.000","2020-08-17T00:00:00.000","1200","06","Hollywood","0666","2","354","THEFT OF IDENTITY","1822 1501 0930 2004","28","M","H","102","SIDEWALK",,,"IC","Invest Cont","354",,,,"1900    TRANSIENT",,"34.0944","-118.3277"
"231808869","2023-04-04T00:00:00.000","2020-12-01T00:00:00.000","2300","18","Southeast","1826","2","354","THEFT OF IDENTITY","1822 0100 0930 0929","41","M","H","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"9900    COMPTON                      AV",,"33.9467","-118.2463"
"230110144","2023-04-04T00:00:00.000","2020-07-03T00:00:00.000","0900","01","Central","0182","2","354","THEFT OF IDENTITY","0930 0929","25","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"1100 S  GRAND                        AV",,"34.0415","-118.262"
"220314085","2022-07-22T00:00:00.000","2020-05-12T00:00:00.000","1110","03","Southwest","0303","2","354","THEFT OF IDENTITY","0100","27","F","B","248","CELL PHONE STORE",,,"IC","Invest Cont","354",,,,"2500 S  SYCAMORE                     AV",,"34.0335","-118.3537"
"231309864","2023-04-28T00:00:00.000","2020-12-09T00:00:00.000","1400","13","Newton","1375","2","354","THEFT OF IDENTITY","0100","24","F","B","750","CYBERSPACE",,,"IC","Invest Cont","354",,,,"1300 E  57TH                         ST",,"33.9911","-118.2521"
"211904005","2020-12-31T00:00:00.000","2020-12-31T00:00:00.000","1220","19","Mission","1974","2","624","BATTERY - SIMPLE ASSAULT","0416","26","M","H","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","624",,,,"9000    CEDROS                       AV",,"34.2336","-118.4535"
"221804943","2022-01-21T00:00:00.000","2020-07-01T00:00:00.000","1335","18","Southeast","1822","2","354","THEFT OF IDENTITY","1822 0930","26","M","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"100 W  COLDEN                       AV",,"33.9492","-118.2739"
"221908151","2022-04-12T00:00:00.000","2020-10-01T00:00:00.000","0001","19","Mission","1988","1","821","SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH","0913 2024 1817 0360 1258 0507","8","F","H","501","SINGLE FAMILY DWELLING","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","812","821",,,"13400    RANGOON                      ST",,"34.2285","-118.4258"
"230204214","2023-01-05T00:00:00.000","2020-02-01T00:00:00.000","0800","02","Rampart","0201","2","812","CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)","1251 1258 0913 0400 0500 0522 1817","7","F","W","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","400","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)","IC","Invest Cont","812","860",,,"900 N  MARIPOSA                     AV",,"34.0868","-118.2991"
"221008844","2022-05-06T00:00:00.000","2020-11-01T00:00:00.000","0130","10","West Valley","1029","1","510","VEHICLE - STOLEN",,"0",,,"101","STREET",,,"IC","Invest Cont","510",,,,"VALJEAN                      ST","VANOWEN                      AV","34.1939","-118.4859"
"230312288","2023-06-01T00:00:00.000","2020-02-02T00:00:00.000","0315","03","Southwest","0391","2","354","THEFT OF IDENTITY","0100 0928 0929 0935 1822","56","M","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"4200    SANTO TOMAS                  DR",,"34.0103","-118.3456"
"231805781","2023-02-03T00:00:00.000","2020-07-01T00:00:00.000","0805","18","Southeast","1802","2","354","THEFT OF IDENTITY","0928 1822","22","F","B","502","MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,"IC","Invest Cont","354",,,,"400 W  90TH                         ST",,"33.9551","-118.2814"
"231322474","2023-12-24T00:00:00.000","2020-01-09T00:00:00.000","1200","13","Newton","1354","2","354","THEFT OF IDENTITY","0100","23","M","B","501","SINGLE FAMILY DWELLING",,,"IC","Invest Cont","354",,,,"4000    WALL                         ST",,"34.0112","-118.2716"
"210705560","2020-11-27T00:00:00.000","2020-11-27T00:00:00.000","1800","07","Wilshire","0776","1","230","ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT","1309 0400","31","F","O","101","STREET","307","VEHICLE","AA","Adult Arrest","230",,,,"4500    LOMITA                       ST",,"34.0452","-118.3351"
